Disp_OPC[Código],Disp_OPC[Nome],Disp_OPC[Data report],Disp_OPC[Versão],Disp_OPC[VIP],Disp_OPC[Suspenso],Disp_OPC[Bandeira],[AverageDisponibilidade__Final_S_Analise]
12567 - V4 NUC,12567 - V4 Nuc Posto  Boxter Mare Alta,2025-08-26T00:00:00,V4 - NOVPN,False,False,Boxter,1
12572 - V4 NUC,12572 - V4 Nuc Posto  Ipiranga Afonso Penna,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12576 - V4 NUC,12576 - V4 Nuc Posto  Ipiranga Auto Posto Ayrton Senna 1016 Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
12578 - V4 NUC,12578 - V4 Nuc Posto  Ipiranga Auto Posto Brasil 137 Ltda,2025-08-26T00:00:00,V4 - VPN,True,False,Ipiranga,1
12581 - V4 NUC,12581 - V4 Nuc Posto  Ipiranga Auto Posto Corumba Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
12584 - V4 NUC,12584 - V4 Nuc Posto  Ipiranga Auto Posto Doutor Carvalho Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12585 - V4 NUC,12585 - V4 Nuc Posto   Posto Romeiros 1,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
12590 - V4 NUC,12590 - V4 Nuc Posto  Ipiranga Auto Posto Jose Marangoni Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12591,12591 Auto Posto Sf 1638 Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12592 - V4 NUC,12592 - V4 Nuc Posto  Ipiranga Nova Marajo,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
12594 - V4 NUC,12594 - V4 Nuc Posto  Ipiranga Auto Posto Presidente Costa 2 Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
12595 - V4 NUC,12595 - V4 Nuc Posto  Ipiranga Auto Posto Presidente Wilson Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12596 - V4 NUC,12596 - V4 Nuc Posto  Ipiranga Auto Posto Engenheiro 1200 Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12599 - V4 NUC,12599 - V4 Nuc Posto  Ipiranga Auto Posto General Newton Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12601 - V4 NUC,12601 - V4 Nuc Posto  Ipiranga  Polo Tambore,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
12602 - V4 NUC,12602 - V4 Nuc Posto  Ipiranga Rotondo Auto Posto Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12603 - V4 NUC,12603 - V4 Nuc Posto  Ipiranga Rede Alpha,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12605 - V4 NUC,12605 - V4 Nuc Posto  Ipiranga Auto Posto Heliodora Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12606 - V4 NUC,12606 - V4 Nuc Posto  Ipiranga Auto Posto Parada 688 Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,0
12607 - V4 NUC,12607 - V4 Nuc Posto  Ipiranga Auto Posto Tiradentes Ltda,2025-08-26T00:00:00,V4 - VPN,True,False,Ipiranga,1
12608 - V4 NUC,12608 - V4 Nuc Posto  Ipiranga Auto Posto Municipalde Andradas Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12610 - V4 NUC,12610 - V4 Nuc Posto  Ipiranga Auto Posto Garcia 5174 Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12611 - V4 NUC,12611 - V4 Nuc Posto  Ipiranga Auto Posto Maria Amalia Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12614 - V4 NUC,12614 - V4 Nuc Posto  Br Prl Petroleo Ii Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,BR,1
12616 - V4 NUC,12616 - V4 Nuc Posto   Filial 06 Sete Estrelas Comercio De Deri,2025-08-26T00:00:00,V4 - NOVPN,False,False,Bandeira Branca,1
12617 - V4 NUC,12617 - V4 Nuc Posto   Filial 10 Sete Estrelas Comercio De Deri,2025-08-26T00:00:00,V4 - NOVPN,False,False,Bandeira Branca,1
12618 - V4 NUC,12618 - V4 Nuc Posto   Filial 16 Sete Estrelas Comercio De Deri,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
12619 - V4 NUC,12619 - V4 Nuc Posto   Filial 21 Sete Estrelas Comercio De Deri,2025-08-26T00:00:00,V4 - NOVPN,False,False,Bandeira Branca,1
12620 - V4 NUC,12620 - V4 Nuc Posto   Filial 22 Sete Estrelas Comercio De Deri,2025-08-26T00:00:00,V4 - NOVPN,False,False,Bandeira Branca,1
12622 - V4 NUC,12622 - V4 Nuc Posto Filial 28 Sete Estrelas,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
12623 - V4 NUC,12623 - V4 Nuc Posto   Filial 33 Sete Estrelas Comercio De Deri,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
12624 - V4 NUC,12624 - V4 Nuc Posto  Ipiranga Auto Posto Cancioneiro Popular Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12625 - V4 NUC,12625 - V4 Nuc Posto  Br Ribeirania,2025-08-26T00:00:00,V4 - NOVPN,False,False,BR,1
12627 - V4 NUC,12627 - V4 Nuc Posto  Br Auto Posto Uss Guararema Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,BR,1
12628 - V4 NUC,12628 - V4 Nuc Posto  Boxter Auto Posto Petala Azul Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Boxter,1
12629 - V4 NUC,12629 - V4 Nuc Posto   Posto De Servico Sagitario Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Bandeira Branca,1
12630 - V4 NUC,12630 - V4 Nuc Posto  Ipiranga Posto De Servico Apolo 8 Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
12631 - V4 NUC,12631 - V4 Nuc Posto  Ipiranga Central Park Abc Auto Posto Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
12632 - V4 NUC,12632 - V4 Nuc Posto  Br Auto Posto Portal Do Atlantico Eireli,2025-08-26T00:00:00,V4 - NOVPN,False,False,BR,1
12633 - V4 NUC,12633 - V4 Nuc Posto   Auto Post Jjl Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Bandeira Branca,1
12634 - V4 NUC,12634 - V4 Nuc Posto   Big Brother Auto Posto Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Bandeira Branca,0
12637 - V4 NUC,12637 - V4 Nuc Posto  Ipiranga Auto Posto Perseu Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12638 - V4 NUC,12638 - V4 Nuc Posto  Ipiranga Ilha Bela Posto De Servicos Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
12639 - V4 NUC,12639 - V4 Nuc Posto  Ipiranga Auto Posto Kajiya Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
12640 - V4 NUC,12640 - V4 Nuc Posto  Ipiranga Auto Posto Baia Do Sol Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
12641 - V4 NUC,12641 - V4 Nuc Posto  Ipiranga Auto Posto Engenheiro Caetano Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,0
12642 - V4 NUC,12642 - V4 Nuc Posto  Ipiranga Auto Posto Padre Antoni Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12643 - V4 NUC,12643 - V4 Nuc Posto  Ipiranga Cassiano,2025-08-26T00:00:00,V4 - NOVPN,True,False,Ipiranga,1
12644 - V4 NUC,12644 - V4 Nuc Posto  Ipiranga Filial 1 Cassiano Comercio De Combustive,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
12645 - V4 NUC,12645 - V4 Nuc Posto  Ipiranga Auto Posto Vila Esperanca Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12646 - V4 NUC,12646 - V4 Nuc Posto  Ipiranga Lummar Combustiveis Piqueri Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
12647 - V4 NUC,12647 - V4 Nuc Posto  Ipiranga Lummar Combustives Tambore Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,0
12648 - V4 NUC,12648 - V4 Nuc Posto  Ipiranga Fama Auto Posto E Servicos Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,0.8494999999999999
12649 - V4 NUC,12649 - V4 Nuc Posto  Ipiranga Jet Auto Posto Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12650 - V4 NUC,12650 - V4 Nuc Posto  Br Posto Polo Cuesta,2025-08-26T00:00:00,V4 - VPN,False,False,BR,1
12651 - V4 NUC,12651 - V4 Nuc Posto  Shell Rodoserv Star,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
12652 - V4 NUC,12652 - V4 Nuc Posto  Shell Posto Rodoserv,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
12653 - V4 NUC,12653 - V4 Nuc Posto  Br Posto Rodo Stop,2025-08-26T00:00:00,V4 - VPN,False,False,BR,1
12660 - V4 NUC,12660 - V4 Nuc Posto  Shell Posto Octane Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
12663 - V4 NUC,12663 - V4 Nuc Posto  Br Auto Posto Brasil Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,BR,1
12664 - V4 NUC,12664 - V4 Nuc Posto  Br Auto Posto Padua Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,BR,1
12665 - V4 NUC,12665 - V4 Nuc Posto  Br Posto De Servicos Santa Rita Do Monte Az,2025-08-26T00:00:00,V4 - NOVPN,False,False,BR,1
12666 - V4 NUC,12666 - V4 Nuc Posto  Br Posto De Servicos Welcome Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,BR,1
12667 - V4 NUC,12667 - V4 Nuc Posto  Br Gas Positivo - Auto Posto De Gas Natural,2025-08-26T00:00:00,V4 - VPN,False,False,BR,1
12668 - V4 NUC,28791 - V4 Nuc Posto Br Auto Posto Petro Querubim Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,BR,1
12673 - V4 NUC,12673 - V4 Nuc Posto  Ale Auto Posto Palmeiras,2025-08-26T00:00:00,V4 - VPN,False,False,Ale,1
12674 - V4 NUC,12674 - V4 Nuc Posto  Ipiranga Auto Posto Agosto Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
12676 - V4 NUC,12676 - V4 Nuc Posto  Ipiranga Auto Posto Mm 2900 Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12679 - V4 NUC,12679 - V4 Nuc Posto  Ipiranga Auto Posto Casuarinas Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
12681 - V4 NUC,12681 - V4 Nuc Posto  Boxter Auto Posto Hldl Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Boxter,1
12682 - V4 NUC,12682 - V4 Nuc Posto  Ipiranga Lago De Michigan,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12683 - V4 NUC,12683 - V4 Nuc Posto  Ipiranga Auto Posto 1010 Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12684 - V4 NUC,12684 - V4 Nuc Posto  Ipiranga Miragem Servicos Automotivos Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,0
12685 - V4 NUC,12685 - V4 Nuc Posto  Ipiranga Centro Automotivo Thomas Edison Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12690 - V4 NUC,12690 - V4 Nuc Posto  Br Posto Santa Rosa Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,BR,1
12691 - V4 NUC,12691 - V4 Nuc Posto  Br Posto Avenida Brasilia Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,BR,1
12693 - V4 NUC,12693 - V4 Nuc Posto  Br Auto Posto Castelli Romani Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,BR,0.20941666666666664
12694 - V4 NUC,12694 - V4 Nuc Posto  Br Auto Posto Atencioso Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,BR,1
12696 - V4 NUC,12696 - V4 Nuc Posto   Auto Posto Platino Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Bandeira Branca,1
12697 - V4 NUC,12697 - V4 Nuc Posto  Br Sobral & Filhos,2025-08-26T00:00:00,V4 - NOVPN,False,False,BR,1
12698 - V4 NUC,12698 - V4 Nuc Posto  Br S&F Comercio De Combustiveis E Lubrifica,2025-08-26T00:00:00,V4 - VPN,False,False,BR,1
12699 - V4 NUC,12699 - V4 Nuc Posto   Auto Posto Andaluzia Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
12700 - V4 NUC,12700 - V4 Nuc Posto  Br Guilherme Ribas Goncalves & Cia Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,BR,1
12701 - V4 NUC,12701 - V4 Nuc Posto   Posto Neoville Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
12703 - V4 NUC,12703 - V4 Nuc Posto  Br Auto Posto Km 35 Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,BR,1
12704 - V4 NUC,12704 - V4 Nuc Posto  Ipiranga Auto Posto Tornado Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12705 - V4 NUC,12705 - V4 Nuc Posto   Auto Posto R66 Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Bandeira Branca,1
12706 - V4 NUC,12706 - V4 Nuc Posto  Br Auto Posto Antonucci Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,BR,1
12707 - V4 NUC,12707 - V4 Nuc Posto  Br Auto Posto Curitibano Ltda,2025-08-26T00:00:00,V4 - VPN,True,False,BR,1
12708 - V4 NUC,12708 - V4 Nuc Posto   Auto Posto Almirante Alexandrino Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
12709 - V4 NUC,12709 - V4 Nuc Posto   Auto Posto De Servicos Itavuvu Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
12710 - V4 NUC,12710 - V4 Nuc Posto  Ipiranga Centro Automotivo Danirafa Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12711 - V4 NUC,12711 - V4 Nuc Posto  Br Auto Posto Madagascar Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,BR,1
12712 - V4 NUC,12712 - V4 Nuc Posto  Br Eco Posto Bella Citta Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,BR,1
12713 - V4 NUC,12713 - V4 Nuc Posto  Ipiranga Allbatross,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12714 - V4 NUC,12714 - V4 Nuc Posto   Posto Abba Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Bandeira Branca,1
12715 - V4 NUC,12715 - V4 Nuc Posto   Auto Posto Boaz Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Bandeira Branca,1
12716 - V4 NUC,12716 - V4 Nuc Posto  Shell Portal Santo Antonio Auto Posto Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,0.6749999999999999
12717 - V4 NUC,12717 - V4 Nuc Posto   Jose Militao De Melo Filho,2025-08-26T00:00:00,V4 - NOVPN,False,False,Bandeira Branca,1
12719 - V4 NUC,12719 - V4 Nuc Posto  Ipiranga Petrogal 10 Auto Posto Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12720 - V4 NUC,12720 - V4 Nuc Posto  Shell Auto Posto Gusa Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
12721 - V4 NUC,12721 - V4 Nuc Posto  Shell Vetor Auto Posto Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
12722 - V4 NUC,12722 - V4 Nuc Posto  Shell Auto Posto 2001 Eireli,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
12724 - V4 NUC,12724 - V4 Nuc Posto  Br Posto Rabi Ibate,2025-08-26T00:00:00,V4 - VPN,False,False,BR,1
12725 - V4 NUC,12725 - V4 Nuc Posto   Comercio De Combustiveis Santo Expedito,2025-08-26T00:00:00,V4 - NOVPN,False,False,Bandeira Branca,1
12726 - V4 NUC,12726 - V4 Nuc Posto   Auto Posto Chavantes Eireli,2025-08-26T00:00:00,V4 - NOVPN,False,False,Bandeira Branca,1
12727 - V4 NUC,12727 - V4 Nuc Posto  Shell Posto Pernambuco Guaruja Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
12728 - V4 NUC,12728 - V4 Nuc Posto   Auto Posto Victor Andrews Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Bandeira Branca,1
12729 - V4 NUC,12729 - V4 Nuc Posto  Shell Posto Morumbi Votorantim Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
12730 - V4 NUC,12730 - V4 Nuc Posto   Posto Dos Tropeiros Sorocaba Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
12731 - V4 NUC,12731 - V4 Nuc Posto   Posto Taboao Sao Roque Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
12732 - V4 NUC,12732 - V4 Nuc Posto   Posto Cic Sorocaba Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,0.9250555555555555
12733 - V4 NUC,12733 - V4 Nuc Posto  Shell Auto Posto Galle Petro Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
12734 - V4 NUC,12734 - V4 Nuc Posto  Shell Auto Posto Mundial De Sorocaba Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
12735 - V4 NUC,12735 - V4 Nuc Posto  Br Posto Omega,2025-08-26T00:00:00,V4 - NOVPN,False,False,BR,1
12736 - V4 NUC,12736 - V4 Nuc Posto  Bandeira Branca Neemias Auto Posto Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
12737 - V4 NUC,12737 - V4 Nuc Posto  Shell Auto Posto Bom Clima Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
12738 - V4 NUC,12738 - V4 Nuc Posto  Ipiranga Auto Posto Gold Star Ltda,2025-08-26T00:00:00,V4 - VPN,True,False,Ipiranga,0
12742 - V4 NUC,12742 - V4 Nuc Posto  Ipiranga Auto Posto Luz Da Lua Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12743 - V4 NUC,12743 - V4 Nuc Posto  Br Posto Canal Capital Verde Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,BR,1
12747 - V4 NUC,12747 - V4 Nuc Posto  Ipiranga Auto Posto Emirados Combustiveis E Conve,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12748 - V4 NUC,12748 - V4 Nuc Posto  Shell Auto Posto Porto Principe Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
12749 - V4 NUC,12749 - V4 Nuc Posto  Ipiranga Auto Posto Hexa Eireli,2025-08-26T00:00:00,V4 - NOVPN,True,False,Ipiranga,1
12750 - V4 NUC,12750 - V4 Nuc Posto   Cockpit Dois - Auto Posto Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
12751 - V4 NUC,12751 - V4 Nuc Posto   Auto Posto Kapri Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Bandeira Branca,1
12752 - V4 NUC,12752 - V4 Nuc Posto   R. F. L. Franca Auto Posto Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
12753 - V4 NUC,12753 - V4 Nuc Posto  Ipiranga Parque Palmares Comercio Varejista De Co,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12754 - V4 NUC,12754 - V4 Nuc Posto  Ipiranga Auto Posto City Lapa Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,0.0005555555555555556
12757 - V4 NUC,12757 - V4 Nuc Posto  Br Comercio De Combustiveis Simomara Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,BR,1
12759 - V4 NUC,12759 - V4 Nuc Posto  Shell Auto Posto Nova Petropolis Ltda,2025-08-26T00:00:00,V4 - NOVPN,True,False,Shell,1
12762 - V4 NUC,12762 - V4 Nuc Posto  Ipiranga Auto Posto Liritapura Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12763 - V4 NUC,12763 - V4 Nuc Posto  Br Auto Posto Kikos Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,BR,1
12764 - V4 NUC,12764 - V4 Nuc Posto   Jsm Combustiveis Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
12765 - V4 NUC,12765 - V4 Nuc Posto   R. F. L. Matao Auto Posto Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
12766 - V4 NUC,12766 - V4 Nuc Posto  Shell Jsm Combustiveis Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
12770 - V4 NUC,12770 - V4 Nuc Posto  Bandeira Branca Posto Nosso Rancho Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Bandeira Branca,1
12772 - V4 NUC,12772 - V4 Nuc Posto  Shell Auto Posto Fernando Stecca Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,0.8969166666666667
12777 - V4 NUC,12777 - V4 Nuc Posto   Auto Posto Das Oliveiras Km 274 Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Bandeira Branca,0
12779 - V4 NUC,12779 - V4 Nuc Posto   Auto Posto Wma Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Bandeira Branca,1
12780 - V4 NUC,12780 - V4 Nuc Posto  Ipiranga Auto Posto Museu Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
12781 - V4 NUC,12781 - V4 Nuc Posto  Br Leve Limpo Auto Posto Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,BR,0.9598333333333333
12783 - V4 NUC,12783 - V4 Nuc Posto  Shell Auto Posto Pedra Azul Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
12784 - V4 NUC,12784 - V4 Nuc Posto  Ipiranga Auto Posto Brasil 2005 Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12786 - V4 NUC,12786 - V4 Nuc Posto   Auto Posto Sinha Moca Limitada,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
12787 - V4 NUC,12787 - V4 Nuc Posto  Br Auto Posto Aletoni Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,BR,1
12788 - V4 NUC,12788 - V4 Nuc Posto  Shell Auto Posto Pracinha Ltda.,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
12791 - V4 NUC,12791 - V4 Nuc Posto  Br Alpha Comercio De Combustiveis E Lubrifi,2025-08-26T00:00:00,V4 - VPN,False,False,BR,1
12797 - V4 NUC,12797 - V4 Nuc Posto  Ale Posto De Servicos Tri Legal Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ale,1
12799 - V4 NUC,12799 - V4 Nuc Posto  Br Posto Santo Sol Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,BR,1
12800 - V4 NUC,12800 - V4 Nuc Posto   Auto Posto Arco Verde Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
12802 - V4 NUC,12802 - V4 Nuc Posto  Br Posto De Servicos Sao Camilo Da Granja V,2025-08-26T00:00:00,V4 - NOVPN,False,False,BR,1
12803 - V4 NUC,12803 - V4 Nuc Posto  Br Posto Tres Garcas Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,BR,1
12804 - V4 NUC,12804 - V4 Nuc Posto  Br Posto Embaixador Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,BR,0.5625833333333333
12805 - V4 NUC,12805 - V4 Nuc Posto   Posto E Servicos Tigrao Da Dutra Ltda,2025-08-26T00:00:00,V4 - NOVPN,True,False,Bandeira Branca,1
12806 - V4 NUC,12806 - V4 Nuc Posto  Ipiranga Posto Estrela Da Dutra Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
12807 - V4 NUC,12807 - V4 Nuc Posto  Br Rodoposto Guararema Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,BR,1
12809 - V4 NUC,12809 - V4 Nuc Posto   Posto Ecologico Do Horto Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
12810 - V4 NUC,12810 - V4 Nuc Posto   Auto Posto Braganca Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Bandeira Branca,1
12812 - V4 NUC,12812 - V4 Nuc Posto  Ale Posto De Servicos Losper Ltda .,2025-08-26T00:00:00,V4 - VPN,False,False,Ale,1
12814 - V4 NUC,12814 - V4 Nuc Posto  Br Rally  De Taquaritinga,2025-08-26T00:00:00,V4 - VPN,False,False,BR,1
12815 - V4 NUC,12815 - V4 Nuc Posto   Auto Posto O Portal Da Vila Carrao Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Bandeira Branca,1
12816 - V4 NUC,12816 - V4 Nuc Posto   Help Auto Posto Ltda.,2025-08-26T00:00:00,V4 - NOVPN,False,False,Bandeira Branca,1
12817 - V4 NUC,12817 - V4 Nuc Posto   Auto Posto Rvm Max Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
12819 - V4 NUC,12819 - V4 Nuc Posto  Br Auto Posto Vela Branca Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,BR,1
12820 - V4 NUC,12820 - V4 Nuc Posto   Auto Posto Miramax Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
12821 - V4 NUC,12821 - V4 Nuc Posto   Blue Stop Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
12824 - V4 NUC,12824 - V4 Nuc Posto  Br Manezinho Comercio De Combustiveis Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,BR,1
12828 - V4 NUC,12828 - V4 Nuc Posto  Ipiranga Auto Posto Cotia Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
12829 - V4 NUC,12829 - V4 Nuc Posto  Br Auto Posto Cotia I Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,BR,1
12836 - V4 NUC,12836 - V4 Nuc Posto  Ipiranga Vicar Shop Auto Posto  Eireli,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
12837 - V4 NUC,12837 - V4 Nuc Posto  Ipiranga Auto Posto Tolaini Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
12839 - V4 NUC,12839 - V4 Nuc Posto  Ipiranga Corimba Auto Posto De Derivados De Petro,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
12840 - V4 NUC,12840 - V4 Nuc Posto  Ipiranga Auto Posto Docarmo Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
