Disp_OPC[Código],Disp_OPC[Nome],Disp_OPC[Data report],Disp_OPC[Versão],Disp_OPC[VIP],Disp_OPC[Suspenso],Disp_OPC[Bandeira],[AverageDisponibilidade__Final_S_Analise]
2618 - V4 NUC,2618 - V4 Nuc Posto  Ipiranga Coliseu Comercio Varejista De Combustive,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
2619 - V4 NUC,2619 - V4 Nuc Posto  Ipiranga Auto Posto Band 1 Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
2620 - V4 NUC,2620 - V4 Nuc Posto  Ipiranga Tex-17 Servicos Automotivos Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
2623 - V4 NUC,2623 - V4 Nuc Posto  Bandeira Branca Auto Posto E Servicos Speed Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Bandeira Branca,1
2624 - V4 NUC,2624 - V4 Nuc Posto  Shell Auto Servicos Jangadeiro,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,0.9759444444444445
2627 - V4 NUC,2627 - V4 Nuc Posto  Shell Posto E Servicos Viaduto Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
2628 - V4 NUC,2628 - V4 Nuc Posto  Br Auto Posto Lider De Jaboticabal Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,BR,1
2629 - V4 NUC,2629 - V4 Nuc Posto  Shell Auto Posto Bom Rodar Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
2631 - V4 NUC,2631 - V4 Nuc Posto  Ipiranga Auto Posto Vila Isabel Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
2634 - V4 NUC,2634 - V4 Nuc Posto  Ipiranga Posto Rancho Tibirica Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
2637 - V4 NUC,2637 - V4 Nuc Posto  Shell Auto Posto Fino Trato Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
2638 - V4 NUC,2638 - V4 Nuc Posto  Bandeira Branca Auto Posto Ares Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
2639 - V4 NUC,2639 - V4 Nuc Posto  Ale Ares Auto Posto Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ale,1
2640 - V4 NUC,2640 - V4 Nuc Posto  Shell Gascem Automotivo Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
2641 - V4 NUC,2641 - V4 Nuc Posto  Shell Privet Auto Posto Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
2642 - V4 NUC,2642 - V4 Nuc Posto  Shell Auto Posto Atalaia Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
2643 - V4 NUC,2643 - V4 Nuc Posto  Bandeira Branca Rovier Transporte E Revenda De Combustiv,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
2644 - V4 NUC,2644 - V4 Nuc Posto  Bandeira Branca Auto Posto Shankar Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
2648 - V4 NUC,2648 - V4 Nuc Posto  Boxter Auto Posto Estrela Do Vale Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Boxter,1
2650,2650 Nova Lions Comercio Varejista De Combustiveis Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
2651 - V4 NUC,2651 - V4 Nuc Posto  Bandeira Branca Auto Posto Twingo Ii Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
2653 - V4 NUC,2653 - V4 Nuc Posto  Shell Centro Automotivo E Comercio De Combusti,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
2654 - V4 NUC,2654 - V4 Nuc Auto Posto Nova Itaquera Conveniencia E Lubrificantes Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
2655 - V4 NUC,2655 - V4 Nuc Posto  Bandeira Branca Auto Posto Tucumantel Tatuquara Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Bandeira Branca,1
2656 - V4 NUC,2656 - V4 Nuc Posto  Bandeira Branca Auto Posto Metropole Trevo Industrial Lt,2025-08-26T00:00:00,V4 - NOVPN,False,False,Bandeira Branca,1
2657 - V4 NUC,2657 - V4 Nuc Posto  Shell Phoenix Autoposto Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
2658,2658 Auto Posto Fuel City Braganca Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Bandeira Branca,1
2659 - V4 NUC,2659 - V4 Nuc Posto  Ipiranga Auto Posto Ipe De Piracicaba,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
2660 - V4 NUC,2660 - V4 Nuc Posto  Ipiranga Auto Posto Imbuia De Americana Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
2661 - V4 NUC,2661 - V4 Nuc Posto  Shell Auto Posto Knox,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
2663 - V4 NUC,2663 - V4 Nuc Posto  Bandeira Branca Auto Posto Nucleo Ii Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
2664 - V4 NUC,2664 - V4 Nuc Posto  Ipiranga Posto De Servicos Vista Alegre Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
2665 - V4 NUC,2665 - V4 Nuc Posto  Bandeira Branca Auto Posto Vitoria Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
2666 - V4 NUC,2666 - V4 Nuc Posto  Ipiranga Auto Posto Joti Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
2667 - V4 NUC,2667 - V4 Nuc Posto  Bandeira Branca Auto Posto Safra De Osasco Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
2668 - V4 NUC,2668 - V4 Nuc Posto  Br Auto Posto Classe Max Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,BR,0.8863055555555555
2669 - V4 NUC,2669 - V4 Nuc Posto  Br Auto Posto Parque Guarapiranga Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,BR,1
2670 - V4 NUC,2670 - V4 Nuc Posto  Br Auto Posto Pequeno Tesouro Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,BR,1
